question,label
新しいiPhone17ってどんな感じ？,0
特徴は何ですか？,0
特徴は何だ？,0
前のモデルと比べて何が変わったの？,0
買う価値あるかな？,0
デザインはどう？持ちやすい？,0
画面は見やすい？屋外でも大丈夫？,0
動画やゲームは滑らかに見れる？,0
ProMotionって何？体感で違いはある？,0
画面は割れにくい？傷はつきにくい？,0
バッテリーは本当に一日持つ？,0
急ぎで充電するとどれくらい使える？,0
充電器は何Wがいいの？,0
カメラはきれいに撮れる？暗い場所でも大丈夫？,0
フロントカメラで自分を撮るとき、自由に枠に収められる？,0
グループ写真で全員入る？,0
バックカメラとフロントカメラで同時に動画撮影できる？,0
動画は動きながらでも滑らか？ブレは少ない？,0
写真のズームや広角は使いやすい？,0
超高解像度で写真や動画を撮るときの保存は便利？,0
ストレージ容量は十分？,0
チップの性能でゲームやアプリは快適？,0
AI機能やスマート機能は日常で便利に使える？,0
FaceTimeやビデオ会議で自分の顔はきれいに映る？,0
周囲の騒音があっても通話や録音は大丈夫？,0
スクロールやアプリ切り替えはサクサク動く？,0
通知やライブ表示はわかりやすい？,0
アクションボタンでよく使う機能は簡単に操作できる？,0
丸みやベゼルは持ちやすい？,0
前面の素材は頑丈？長く使える？,0
暗い場所でも写真や動画はちゃんと撮れる？,0
作文や画像生成などAI機能は簡単に使える？,0
ネットや通信は快適？外でもつながりやすい？,0
安全機能は実際に役立つ？,0
写真や動画をSNSにすぐアップできる？,0
一日中使ったとき本体は熱くなる？,0
複数のアプリを同時に使うと動作は安定してる？,0
iOS26は使いやすい？前のバージョンと比べて便利？,0
動画編集や写真加工は快適にできる？,0
アクセサリーやケースは前のモデルと共通で使える？,0
耐水や防塵性能はどう？,0
撮影の自由度は高い？ズームやフレーム調整は簡単？,0
新しい機能は日常生活で役立つ？,0
ゲームやアプリのロード時間は短い？,0
アップデートで機能は増える？,0
ワイヤレス通信は高速で安定してる？,0
5GやWi-Fi7は実際便利？,0
バッテリー長持ちの設定は簡単にできる？,0
新しいiPhone17 Proってどんな感じ？,0
ボディは丈夫かな？落としても大丈夫？,0
熱間鍛造アルミニウムUnibodyって何？触った感じはどう？,0
A19 Proチップって速い？ゲームやアプリは快適？,0
冷却システムで熱くならない？長時間でも安定する？,0
バッテリーは本当に長持ちする？,0
フル充電でどれくらい使える？,0
急速充電はどれくらいでどのくらい使える？,0
ProMotionでスクロールやゲームは滑らか？,0
反射防止や輝度は改善されてる？,0
カメラは本当に48MPなの？,0
ズームはどれくらい寄れる？,0
フロントカメラのセンターフレームって便利？,0
グループセルフィーは自動で全員入る？,0
マクロ写真や広角写真はきれいに撮れる？,0
